"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POMP9",2.76413030561595e-42,1.05701018138552,0.935,0.555,5.7297657105113e-38,"CD4 Proliferating","POMP"
"CDK41",4.58982687623595e-42,0.578451657471193,0.519,0.12,9.51425213174951e-38,"CD4 Proliferating","CDK4"
"NAP1L49",5.61151833021584e-42,0.952012271047746,0.954,0.427,1.16321163467044e-37,"CD4 Proliferating","NAP1L4"
"SPTBN14",6.20539539639529e-42,1.01767162752194,0.787,0.267,1.28631641171878e-37,"CD4 Proliferating","SPTBN1"
"GBP12",9.07382029224448e-42,1.03778174621283,0.75,0.24,1.88091220837936e-37,"CD4 Proliferating","GBP1"
"ARHGDIB6",2.3354866289321e-41,0.892722762784353,1,0.969,4.84123023311335e-37,"CD4 Proliferating","ARHGDIB"
"PGAM15",3.20245624113335e-41,1.06094347270994,0.935,0.466,6.63837154224531e-37,"CD4 Proliferating","PGAM1"
"SUPT16H4",3.22541754564644e-41,1.03183461918392,0.889,0.396,6.68596803037051e-37,"CD4 Proliferating","SUPT16H"
"FH",3.4671129288563e-41,0.539987541064028,0.537,0.119,7.18697839022623e-37,"CD4 Proliferating","FH"
"ANAPC151",3.80516435865928e-41,0.772135174000906,0.741,0.245,7.88772519906483e-37,"CD4 Proliferating","ANAPC15"
"ARPC210",4.25450640441335e-41,0.96725837510449,1,0.947,8.81916632570843e-37,"CD4 Proliferating","ARPC2"
"CDK2AP25",5.06503509625649e-41,0.801098795437173,0.787,0.26,1.04993112510301e-36,"CD4 Proliferating","CDK2AP2"
"WDR18",5.57278351208941e-41,0.935192596051057,0.88,0.398,1.15518229422101e-36,"CD4 Proliferating","WDR1"
"HNRNPA2B14",6.60665380597996e-41,0.919710556595058,1,0.968,1.36949326744159e-36,"CD4 Proliferating","HNRNPA2B1"
"ITGB1BP13",8.78290261781475e-41,0.776238503967475,0.741,0.252,1.82060788364682e-36,"CD4 Proliferating","ITGB1BP1"
"DCUN1D5",1.05474474074912e-40,0.541616492720179,0.537,0.125,2.18638037309885e-36,"CD4 Proliferating","DCUN1D5"
"HDGF4",1.90524868843791e-40,0.882724885937572,0.87,0.344,3.94939000626294e-36,"CD4 Proliferating","HDGF"
"RNASEH2B8",2.46921487327849e-40,0.902817657338966,0.852,0.355,5.11843551081899e-36,"CD4 Proliferating","RNASEH2B"
"ACTR37",2.93278452158796e-40,0.996144378234212,0.981,0.741,6.07936903479967e-36,"CD4 Proliferating","ACTR3"
"PSMD88",5.47006024217983e-40,0.918478664550894,0.944,0.502,1.13388878760146e-35,"CD4 Proliferating","PSMD8"
"VDAC17",1.09498670600036e-39,0.931768363060217,0.898,0.407,2.26979794286815e-35,"CD4 Proliferating","VDAC1"
"TXN9",1.20056059866784e-39,1.26664091682788,0.889,0.503,2.48864206497858e-35,"CD4 Proliferating","TXN"
"MT-CO38",2.33825011899902e-39,0.928660679646916,1,1,4.84695867167307e-35,"CD4 Proliferating","MT-CO3"
"MPC24",2.4074073216192e-39,0.764091885397922,0.796,0.289,4.99031463698444e-35,"CD4 Proliferating","MPC2"
"CD3D12",2.97134335287629e-39,1.16167347555539,0.991,0.511,6.15929763617726e-35,"CD4 Proliferating","CD3D"
"HNRNPD4",3.52222315849125e-39,1.04097242984114,0.981,0.719,7.30121638523651e-35,"CD4 Proliferating","HNRNPD"
"RBBP73",5.19436801338175e-39,0.878256296787066,0.787,0.296,1.0767405454939e-34,"CD4 Proliferating","RBBP7"
"PRKDC3",6.58745336569897e-39,1.10629062945697,0.852,0.42,1.36551320817574e-34,"CD4 Proliferating","PRKDC"
"PSMA77",1.43243764390358e-38,1.00175025849971,0.991,0.781,2.96929999204772e-34,"CD4 Proliferating","PSMA7"
"HDAC12",2.20291666907824e-38,0.841394529072646,0.843,0.352,4.56642596333229e-34,"CD4 Proliferating","HDAC1"
"OPTN9",2.9101441038544e-38,0.844203055604632,0.824,0.303,6.03243771287979e-34,"CD4 Proliferating","OPTN"
"CD62",3.85806505067591e-38,0.775600648113771,0.676,0.198,7.9973830435461e-34,"CD4 Proliferating","CD6"
"DCTPP11",4.70002828378809e-38,0.58536237264287,0.537,0.13,9.74268862946433e-34,"CD4 Proliferating","DCTPP1"
"LCK14",5.09182734565072e-38,0.962574603898328,0.917,0.406,1.05548489047994e-33,"CD4 Proliferating","LCK"
"MAZ3",1.13756215929188e-37,0.814156207377513,0.87,0.365,2.35805259999614e-33,"CD4 Proliferating","MAZ"
"SMS3",1.18047301626842e-37,0.74726015911017,0.787,0.277,2.4470025154228e-33,"CD4 Proliferating","SMS"
"CLTA9",1.31903856897164e-37,0.903581097048016,0.954,0.494,2.73423504962131e-33,"CD4 Proliferating","CLTA"
"PSMC33",3.63000730604363e-37,0.752246581831682,0.75,0.269,7.52464214469783e-33,"CD4 Proliferating","PSMC3"
"DAZAP12",4.20662613498346e-37,0.731368594589593,0.778,0.274,8.71991531520722e-33,"CD4 Proliferating","DAZAP1"
"PARK77",4.74889467527163e-37,0.885956232816524,0.991,0.726,9.84398377237056e-33,"CD4 Proliferating","PARK7"
"PSME28",5.267909815765e-37,1.15743309178329,0.963,0.661,1.09198502570993e-32,"CD4 Proliferating","PSME2"
"RECQL2",5.53744369846217e-37,0.801580853029614,0.796,0.293,1.14785670425422e-32,"CD4 Proliferating","RECQL"
