"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"S100A9",0,4.9889483162807,0.994,0.679,0,"Mono","S100A9"
"S100A8",0,4.79293225409141,0.951,0.498,0,"Mono","S100A8"
"LYZ",0,4.35516922722736,1,0.669,0,"Mono","LYZ"
"IL1B",0,3.65062888003408,0.55,0.25,0,"Mono","IL1B"
"VCAN",0,3.62043394311309,0.903,0.191,0,"Mono","VCAN"
"FCN1",0,3.56074656933512,0.989,0.23,0,"Mono","FCN1"
"CTSS",0,3.48525408115117,1,0.671,0,"Mono","CTSS"
"G0S2",0,3.37153782152369,0.612,0.198,0,"Mono","G0S2"
"FOS",0,3.30457263502161,0.925,0.406,0,"Mono","FOS"
"CCL3",0,3.2015332462809,0.513,0.216,0,"Mono","CCL3"
"MNDA",0,3.01970171573445,0.983,0.178,0,"Mono","MNDA"
"NFKBIA",0,2.99422122677392,0.911,0.617,0,"Mono","NFKBIA"
"AIF1",0,2.94750194085597,0.999,0.406,0,"Mono","AIF1"
"SAT1",0,2.91913451610793,0.998,0.656,0,"Mono","SAT1"
"NEAT1",0,2.9152796644119,1,0.888,0,"Mono","NEAT1"
"S100A12",0,2.79389069026883,0.811,0.099,0,"Mono","S100A12"
"FTL",0,2.78962064528052,1,0.998,0,"Mono","FTL"
"CST3",0,2.73721199611676,1,0.331,0,"Mono","CST3"
"LST1",0,2.7188294503647,0.997,0.313,0,"Mono","LST1"
"PSAP",0,2.67766765691592,0.999,0.476,0,"Mono","PSAP"
"NAMPT",0,2.60938789488367,0.926,0.21,0,"Mono","NAMPT"
"CD14",0,2.57290990140798,0.88,0.082,0,"Mono","CD14"
"TNFAIP2",0,2.54074200582755,0.926,0.12,0,"Mono","TNFAIP2"
"FTH1",0,2.51261013257129,1,0.997,0,"Mono","FTH1"
"TYROBP",0,2.4995739570082,1,0.426,0,"Mono","TYROBP"
"TYMP",0,2.42244767210455,0.988,0.254,0,"Mono","TYMP"
"FGL2",0,2.41595933670556,0.984,0.178,0,"Mono","FGL2"
"CYBB",0,2.39209283102836,0.981,0.17,0,"Mono","CYBB"
"CFD",0,2.37375715503355,0.958,0.112,0,"Mono","CFD"
"SERPINA1",0,2.35519134566945,0.975,0.082,0,"Mono","SERPINA1"
"CEBPD",0,2.35142720891515,0.92,0.202,0,"Mono","CEBPD"
"DUSP1",0,2.34729780626602,0.989,0.51,0,"Mono","DUSP1"
"MARCKS",0,2.31069127908512,0.834,0.16,0,"Mono","MARCKS"
"S100A11",0,2.28633091159838,1,0.68,0,"Mono","S100A11"
"SOD2",0,2.21922843468219,0.814,0.261,0,"Mono","SOD2"
"TKT",0,2.17147004081351,0.992,0.461,0,"Mono","TKT"
"APLP2",0,2.16169821596449,0.976,0.326,0,"Mono","APLP2"
"GRN",0,2.14384532002499,0.964,0.196,0,"Mono","GRN"
"COTL1",0,2.11552904269582,0.999,0.561,0,"Mono","COTL1"
"S100A6",0,2.10593058557631,1,0.957,0,"Mono","S100A6"
