"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SRGN",0,2.09172694919557,0.999,0.749,0,"Mono","SRGN"
"MS4A6A",0,2.0691770861081,0.885,0.082,0,"Mono","MS4A6A"
"NFKBIZ",0,2.06205449103253,0.821,0.338,0,"Mono","NFKBIZ"
"CEBPB",0,2.0594273023494,0.973,0.427,0,"Mono","CEBPB"
"FCER1G",0,2.04684334305474,0.994,0.3,0,"Mono","FCER1G"
"AC020656.1",0,2.03085603660594,0.748,0.09,0,"Mono","AC020656.1"
"AP1S2",0,2.01401021563574,0.971,0.321,0,"Mono","AP1S2"
"BRI3",0,2.00321320942123,0.991,0.44,0,"Mono","BRI3"
"CSTA",0,1.9970240157398,0.934,0.085,0,"Mono","CSTA"
"CSF3R",0,1.99318590677231,0.863,0.074,0,"Mono","CSF3R"
"IER3",0,1.97311760795682,0.705,0.089,0,"Mono","IER3"
"ATP2B1-AS1",0,1.94301766031984,0.83,0.181,0,"Mono","ATP2B1-AS1"
"NCF2",0,1.93584072661373,0.94,0.092,0,"Mono","NCF2"
"TSPO",0,1.89989248834073,0.994,0.629,0,"Mono","TSPO"
"SPI1",0,1.88818774902142,0.949,0.123,0,"Mono","SPI1"
"MPEG1",0,1.87833486058148,0.927,0.098,0,"Mono","MPEG1"
"IER2",0,1.84908851188994,0.946,0.614,0,"Mono","IER2"
"CLEC7A",0,1.8351341563388,0.921,0.074,0,"Mono","CLEC7A"
"BCL2A1",0,1.81421344532701,0.699,0.155,0,"Mono","BCL2A1"
"IFITM3",0,1.79324071338338,0.745,0.185,0,"Mono","IFITM3"
"CLEC12A",0,1.78979831180504,0.883,0.063,0,"Mono","CLEC12A"
"ZFP36",0,1.77829584119298,0.946,0.505,0,"Mono","ZFP36"
"CD68",0,1.77562108868477,0.916,0.08,0,"Mono","CD68"
"RGS2",0,1.76387353504206,0.762,0.193,0,"Mono","RGS2"
"CPVL",0,1.73773216745665,0.877,0.067,0,"Mono","CPVL"
"MS4A7",0,1.73157931417741,0.732,0.06,0,"Mono","MS4A7"
"PPP1R15A",0,1.72691611006409,0.747,0.25,0,"Mono","PPP1R15A"
"IGSF6",0,1.7156769694679,0.869,0.073,0,"Mono","IGSF6"
"LGALS3",0,1.71288690016443,0.914,0.18,0,"Mono","LGALS3"
"LGALS1",0,1.69955716120983,0.989,0.502,0,"Mono","LGALS1"
"ASAH1",0,1.68910532234272,0.954,0.301,0,"Mono","ASAH1"
"PLAUR",0,1.68187185447599,0.736,0.05,0,"Mono","PLAUR"
"S100A4",0,1.68149878496503,1,0.921,0,"Mono","S100A4"
"SLC11A1",0,1.67119929059508,0.838,0.052,0,"Mono","SLC11A1"
"CD36",0,1.66339947380404,0.801,0.057,0,"Mono","CD36"
"MAFB",0,1.66253592316778,0.663,0.041,0,"Mono","MAFB"
"C5AR1",0,1.63817489450825,0.759,0.033,0,"Mono","C5AR1"
"FCGRT",0,1.63765915685028,0.94,0.208,0,"Mono","FCGRT"
"TNFRSF1B",0,1.62601412223942,0.947,0.328,0,"Mono","TNFRSF1B"
"APOBEC3A",0,1.61447310913061,0.61,0.039,0,"Mono","APOBEC3A"
"LILRB2",0,1.60911277883759,0.849,0.05,0,"Mono","LILRB2"
"ZEB2",0,1.58866855186784,0.96,0.371,0,"Mono","ZEB2"
"LGALS2",0,1.56745795249043,0.65,0.069,0,"Mono","LGALS2"
"NLRP3",0,1.56478835139239,0.61,0.048,0,"Mono","NLRP3"
"TNFSF13B",0,1.54856148414865,0.86,0.094,0,"Mono","TNFSF13B"
"PLEK",0,1.54678825287742,0.887,0.439,0,"Mono","PLEK"
"ANXA5",0,1.53420147812542,0.953,0.357,0,"Mono","ANXA5"
"CFP",0,1.52861200661506,0.873,0.082,0,"Mono","CFP"
"PLBD1",0,1.51903691672217,0.749,0.044,0,"Mono","PLBD1"
"IFI30",0,1.51440993443281,0.653,0.045,0,"Mono","IFI30"
"NPC2",0,1.51166637810459,0.938,0.324,0,"Mono","NPC2"
"NCF1",0,1.5077309396365,0.8,0.288,0,"Mono","NCF1"
"FPR1",0,1.5064165889866,0.76,0.032,0,"Mono","FPR1"
"RNF130",0,1.5044808852333,0.909,0.165,0,"Mono","RNF130"
"EGR1",0,1.50377528520736,0.529,0.05,0,"Mono","EGR1"
"VMP1",0,1.50169272897982,0.869,0.263,0,"Mono","VMP1"
"DMXL2",0,1.47240081242844,0.789,0.046,0,"Mono","DMXL2"
"VSIR",0,1.45885785624827,0.941,0.335,0,"Mono","VSIR"
"KCTD12",0,1.43397600233381,0.768,0.058,0,"Mono","KCTD12"
"CTSB",0,1.42888517456657,0.87,0.169,0,"Mono","CTSB"
"TALDO1",0,1.42873632551684,0.941,0.405,0,"Mono","TALDO1"
"PYCARD",0,1.42791627106665,0.946,0.353,0,"Mono","PYCARD"
"NINJ1",0,1.41844379783314,0.753,0.144,0,"Mono","NINJ1"
"CD300E",0,1.40417675509738,0.726,0.038,0,"Mono","CD300E"
"MCL1",0,1.40264922130799,0.919,0.535,0,"Mono","MCL1"
"GSTP1",0,1.40202569653751,0.974,0.575,0,"Mono","GSTP1"
"LYN",0,1.40091603945518,0.889,0.242,0,"Mono","LYN"
"IRAK3",0,1.40057918992079,0.788,0.042,0,"Mono","IRAK3"
"BLVRB",0,1.40010648643124,0.833,0.122,0,"Mono","BLVRB"
"CTSZ",0,1.39711153213595,0.919,0.235,0,"Mono","CTSZ"
"CTSD",0,1.37851241242695,0.901,0.336,0,"Mono","CTSD"
"PILRA",0,1.3768623277783,0.811,0.041,0,"Mono","PILRA"
"PTPRE",0,1.37221828504215,0.84,0.245,0,"Mono","PTPRE"
"VIM",0,1.37091667724085,0.998,0.952,0,"Mono","VIM"
"ZFP36L1",0,1.36227266443382,0.856,0.544,0,"Mono","ZFP36L1"
"STXBP2",0,1.35684870730033,0.82,0.192,0,"Mono","STXBP2"
"CD83",0,1.34047212167764,0.549,0.108,0,"Mono","CD83"
"TNFAIP3",0,1.3372663019927,0.585,0.438,0,"Mono","TNFAIP3"
"PECAM1",0,1.33535764370783,0.81,0.133,0,"Mono","PECAM1"
"LRP1",0,1.33183656890838,0.784,0.034,0,"Mono","LRP1"
"LRRK2",0,1.33107020155887,0.728,0.053,0,"Mono","LRRK2"
"CPPED1",0,1.32613604493183,0.806,0.075,0,"Mono","CPPED1"
"SGK1",0,1.32546700592495,0.546,0.05,0,"Mono","SGK1"
"HCK",0,1.32365730437557,0.797,0.052,0,"Mono","HCK"
"CD93",0,1.32129640888589,0.706,0.03,0,"Mono","CD93"
"SDCBP",0,1.32127530502822,0.917,0.362,0,"Mono","SDCBP"
"JAML",0,1.3167955401235,0.862,0.214,0,"Mono","JAML"
"ANXA2",0,1.31383875281677,0.947,0.408,0,"Mono","ANXA2"
"HLA-DRA",0,1.31326704391259,0.991,0.475,0,"Mono","HLA-DRA"
"LILRB3",0,1.30824292700246,0.776,0.039,0,"Mono","LILRB3"
"DUSP6",0,1.29702081432419,0.597,0.039,0,"Mono","DUSP6"
"KLF10",0,1.29164115414658,0.754,0.126,0,"Mono","KLF10"
"FGR",0,1.28783459806963,0.881,0.2,0,"Mono","FGR"
"CD302",0,1.28593541381987,0.776,0.05,0,"Mono","CD302"
"GCA",0,1.27435952677397,0.773,0.103,0,"Mono","GCA"
"POU2F2",0,1.2610446484759,0.88,0.36,0,"Mono","POU2F2"
"TIMP2",0,1.25783762435769,0.794,0.048,0,"Mono","TIMP2"
"HLA-DRB1",0,1.25648521265219,0.959,0.411,0,"Mono","HLA-DRB1"
"EVI2B",0,1.25639749795724,0.974,0.648,0,"Mono","EVI2B"
"ITGB2",0,1.25631341636219,0.987,0.603,0,"Mono","ITGB2"
"TMEM176B",0,1.24461918759661,0.583,0.023,0,"Mono","TMEM176B"
"GLUL",0,1.24238297823108,0.73,0.15,0,"Mono","GLUL"
"FCGR2A",0,1.24208272097963,0.74,0.046,0,"Mono","FCGR2A"
"TGFBI",0,1.23837731608987,0.758,0.051,0,"Mono","TGFBI"
"ALDH2",0,1.22218798714267,0.742,0.062,0,"Mono","ALDH2"
"SLC7A7",0,1.21764016653212,0.763,0.037,0,"Mono","SLC7A7"
"ADA2",0,1.21550582938396,0.803,0.173,0,"Mono","ADA2"
"HLA-DRB5",0,1.20441722071453,0.785,0.233,0,"Mono","HLA-DRB5"
"OGFRL1",0,1.20401706230777,0.782,0.138,0,"Mono","OGFRL1"
"TNFSF10",0,1.20376048388732,0.732,0.209,0,"Mono","TNFSF10"
"CTSH",0,1.2016107654412,0.823,0.151,0,"Mono","CTSH"
"ZFAND5",0,1.19881059061031,0.811,0.255,0,"Mono","ZFAND5"
"CCDC88A",0,1.18944109676246,0.782,0.143,0,"Mono","CCDC88A"
"CD44",0,1.18510714551986,0.934,0.654,0,"Mono","CD44"
"LYST",0,1.18141432805651,0.862,0.293,0,"Mono","LYST"
"PLXDC2",0,1.18024130229975,0.726,0.045,0,"Mono","PLXDC2"
"MXD1",0,1.17755374584532,0.668,0.108,0,"Mono","MXD1"
"GAPDH",0,1.17604317655585,0.998,0.916,0,"Mono","GAPDH"
"IFNGR2",0,1.17372242302493,0.756,0.113,0,"Mono","IFNGR2"
"HIF1A",0,1.17312641239766,0.74,0.267,0,"Mono","HIF1A"
"RBP7",0,1.1721880482448,0.609,0.017,0,"Mono","RBP7"
"H2AFY",0,1.1719664089449,0.923,0.405,0,"Mono","H2AFY"
"MEGF9",0,1.16900884918019,0.703,0.099,0,"Mono","MEGF9"
"GLIPR1",0,1.16417009455092,0.891,0.345,0,"Mono","GLIPR1"
"ATP6V0B",0,1.15000564667739,0.914,0.392,0,"Mono","ATP6V0B"
"GNAI2",0,1.14897156561599,0.991,0.751,0,"Mono","GNAI2"
"NUP214",0,1.14884424675809,0.791,0.181,0,"Mono","NUP214"
"S100A10",0,1.14669148722109,0.984,0.838,0,"Mono","S100A10"
"FOSB",0,1.1450603938084,0.55,0.067,0,"Mono","FOSB"
"NR4A1",0,1.1431652713262,0.583,0.048,0,"Mono","NR4A1"
"TIMP1",0,1.1421911970003,0.853,0.311,0,"Mono","TIMP1"
"LRRC25",0,1.14199564613027,0.698,0.034,0,"Mono","LRRC25"
"SLC43A2",0,1.13460873534196,0.688,0.044,0,"Mono","SLC43A2"
"KLF6",0,1.1311667380918,0.882,0.624,0,"Mono","KLF6"
"ACTB",0,1.12688410384141,1,0.997,0,"Mono","ACTB"
"RAB31",0,1.12191418432107,0.735,0.066,0,"Mono","RAB31"
"RAC1",0,1.09938035077745,0.962,0.568,0,"Mono","RAC1"
"LILRA5",0,1.09828981198009,0.656,0.025,0,"Mono","LILRA5"
"TLR2",0,1.09623508706317,0.648,0.023,0,"Mono","TLR2"
"CARD16",0,1.09530569453437,0.89,0.412,0,"Mono","CARD16"
"SERPINB1",0,1.0896390069521,0.901,0.498,0,"Mono","SERPINB1"
"CDA",0,1.07453164215744,0.651,0.018,0,"Mono","CDA"
"ARRB2",0,1.07313698423132,0.894,0.379,0,"Mono","ARRB2"
"CLEC4E",0,1.06951213443055,0.561,0.018,0,"Mono","CLEC4E"
"RXRA",0,1.06931582236893,0.72,0.049,0,"Mono","RXRA"
"SAMSN1",0,1.06843338249237,0.553,0.22,0,"Mono","SAMSN1"
"WARS",0,1.06596888650435,0.667,0.087,0,"Mono","WARS"
"C1orf162",0,1.0650579992576,0.895,0.386,0,"Mono","C1orf162"
"LTA4H",0,1.06237479615964,0.745,0.222,0,"Mono","LTA4H"
"BACH1",0,1.06149612812383,0.717,0.159,0,"Mono","BACH1"
"QKI",0,1.05628509698297,0.845,0.317,0,"Mono","QKI"
"NAIP",0,1.05443390628639,0.677,0.114,0,"Mono","NAIP"
"OAZ1",0,1.0513061344668,1,0.97,0,"Mono","OAZ1"
"FKBP1A",0,1.05113032017556,0.908,0.423,0,"Mono","FKBP1A"
"LMO2",0,1.04503336414322,0.706,0.056,0,"Mono","LMO2"
"AC007952.4",0,1.04396185704382,0.617,0.111,0,"Mono","AC007952.4"
"BID",0,1.04125518599973,0.748,0.204,0,"Mono","BID"
"ETS2",0,1.04074498355473,0.583,0.068,0,"Mono","ETS2"
"ASGR1",0,1.03773405052679,0.657,0.02,0,"Mono","ASGR1"
"EMILIN2",0,1.03527993547393,0.68,0.046,0,"Mono","EMILIN2"
"AGTRAP",0,1.03146496052508,0.771,0.181,0,"Mono","AGTRAP"
"C19orf38",0,1.02794573522067,0.689,0.039,0,"Mono","C19orf38"
"MYO1F",0,1.02627436295058,0.929,0.418,0,"Mono","MYO1F"
"CASP1",0,1.02438485538009,0.809,0.256,0,"Mono","CASP1"
"CALM2",0,1.02393611578366,0.986,0.838,0,"Mono","CALM2"
"CD74",0,1.02078614106273,0.998,0.687,0,"Mono","CD74"
"MARCH1",0,0.9984337740958,0.759,0.147,0,"Mono","MARCH1"
"CSF1R",0,0.997621955647542,0.604,0.031,0,"Mono","CSF1R"
"IER5",0,0.996883699271953,0.709,0.204,0,"Mono","IER5"
"IL17RA",0,0.986659506928362,0.703,0.141,0,"Mono","IL17RA"
"SULT1A1",0,0.986656979195477,0.648,0.069,0,"Mono","SULT1A1"
"THEMIS2",0,0.985942364248061,0.757,0.171,0,"Mono","THEMIS2"
"RTN3",0,0.984970044936073,0.761,0.193,0,"Mono","RTN3"
"PRELID1",0,0.984578828018376,0.926,0.605,0,"Mono","PRELID1"
"HLA-DPA1",0,0.981455436369704,0.872,0.464,0,"Mono","HLA-DPA1"
"PIM3",0,0.977160443397479,0.644,0.2,0,"Mono","PIM3"
"IRF1",0,0.974415637391119,0.821,0.572,0,"Mono","IRF1"
"SCPEP1",0,0.96923216647175,0.705,0.117,0,"Mono","SCPEP1"
"RAB32",0,0.968961935003917,0.715,0.053,0,"Mono","RAB32"
"CDKN1A",0,0.967877757636227,0.543,0.053,0,"Mono","CDKN1A"
"VASP",0,0.96522387968277,0.85,0.381,0,"Mono","VASP"
"LCP1",0,0.959594515332436,0.996,0.825,0,"Mono","LCP1"
"RILPL2",0,0.959047359690216,0.755,0.224,0,"Mono","RILPL2"
"LGALS9",0,0.955620342306873,0.718,0.146,0,"Mono","LGALS9"
"PRAM1",0,0.953946728184654,0.645,0.029,0,"Mono","PRAM1"
"BCL6",0,0.953129418534106,0.529,0.055,0,"Mono","BCL6"
"PPT1",0,0.951646112234982,0.726,0.173,0,"Mono","PPT1"
"MYADM",0,0.951462112825909,0.669,0.169,0,"Mono","MYADM"
"LY86",0,0.949156544749235,0.707,0.113,0,"Mono","LY86"
"IFNGR1",0,0.946038920837351,0.746,0.196,0,"Mono","IFNGR1"
"FBXL5",0,0.94536132580143,0.749,0.252,0,"Mono","FBXL5"
"BST1",0,0.944084856793891,0.593,0.016,0,"Mono","BST1"
"SNX18",0,0.940328506283846,0.596,0.08,0,"Mono","SNX18"
"SMIM25",0,0.939726790252922,0.509,0.019,0,"Mono","SMIM25"
"RNF144B",0,0.937210900339846,0.521,0.039,0,"Mono","RNF144B"
"PGD",0,0.935765151989615,0.633,0.071,0,"Mono","PGD"
"GRINA",0,0.935355092954455,0.659,0.093,0,"Mono","GRINA"
"SAMHD1",0,0.931705787558246,0.943,0.618,0,"Mono","SAMHD1"
"DPYD",0,0.931684689941579,0.706,0.179,0,"Mono","DPYD"
"NFKBID",0,0.925427234973338,0.558,0.082,0,"Mono","NFKBID"
"SKAP2",0,0.919033060441762,0.772,0.229,0,"Mono","SKAP2"
"ZYX",0,0.918818027392252,0.771,0.226,0,"Mono","ZYX"
"SLC2A3",0,0.911088926287606,0.568,0.344,0,"Mono","SLC2A3"
"NAGK",0,0.908517483432182,0.69,0.148,0,"Mono","NAGK"
"MIDN",0,0.904968276949279,0.744,0.261,0,"Mono","MIDN"
"C9orf72",0,0.901806286073185,0.668,0.097,0,"Mono","C9orf72"
"CAPG",0,0.896385828979875,0.664,0.124,0,"Mono","CAPG"
"LAPTM5",0,0.895035653138472,0.994,0.846,0,"Mono","LAPTM5"
"SNX10",0,0.89480835518381,0.692,0.144,0,"Mono","SNX10"
"DPYSL2",0,0.892784276680401,0.685,0.127,0,"Mono","DPYSL2"
"YBX3",0,0.888089258884603,0.728,0.213,0,"Mono","YBX3"
"LILRA2",0,0.886501065572542,0.616,0.023,0,"Mono","LILRA2"
"ZNF385A",0,0.886359869280307,0.623,0.036,0,"Mono","ZNF385A"
"TBXAS1",0,0.886130419294538,0.638,0.057,0,"Mono","TBXAS1"
"IFI6",0,0.885900250315809,0.551,0.252,0,"Mono","IFI6"
"AP2S1",0,0.885779360037428,0.879,0.413,0,"Mono","AP2S1"
"CNPY3",0,0.885043322794142,0.809,0.313,0,"Mono","CNPY3"
"JUNB",0,0.884423234886347,0.99,0.848,0,"Mono","JUNB"
"LILRB1",0,0.883740409716186,0.601,0.087,0,"Mono","LILRB1"
"GAS7",0,0.882462930746813,0.601,0.063,0,"Mono","GAS7"
"PTAFR",0,0.881383659633934,0.525,0.02,0,"Mono","PTAFR"
"AHNAK",0,0.877264266195534,0.939,0.638,0,"Mono","AHNAK"
"RHOG",0,0.876181279113158,0.827,0.361,0,"Mono","RHOG"
"HMOX1",0,0.875178483974311,0.529,0.03,0,"Mono","HMOX1"
"HNMT",0,0.874210376369501,0.579,0.021,0,"Mono","HNMT"
"CLEC4A",0,0.874083356015936,0.619,0.039,0,"Mono","CLEC4A"
"LRRFIP1",0,0.872887854928757,0.97,0.742,0,"Mono","LRRFIP1"
"ARPC1B",0,0.871588923161916,0.987,0.754,0,"Mono","ARPC1B"
"UBE2D1",0,0.86856690359363,0.634,0.124,0,"Mono","UBE2D1"
"NUMB",0,0.868066051156254,0.693,0.165,0,"Mono","NUMB"
"IQGAP1",0,0.866601500702328,0.942,0.592,0,"Mono","IQGAP1"
"TPP1",0,0.86611512442508,0.734,0.216,0,"Mono","TPP1"
"AOAH",0,0.865840446372967,0.711,0.17,0,"Mono","AOAH"
"ZNF106",0,0.861639259910195,0.773,0.337,0,"Mono","ZNF106"
"STX11",0,0.860577349691852,0.592,0.057,0,"Mono","STX11"
"PLEKHO1",0,0.858992307399934,0.787,0.303,0,"Mono","PLEKHO1"
"PLSCR1",0,0.85874147430398,0.624,0.124,0,"Mono","PLSCR1"
"HSBP1",0,0.855614539672481,0.714,0.207,0,"Mono","HSBP1"
"SLC8A1",0,0.85403308037617,0.575,0.026,0,"Mono","SLC8A1"
"PAK1",0,0.852673305104707,0.65,0.085,0,"Mono","PAK1"
"BTG2",0,0.850886016731942,0.793,0.578,0,"Mono","BTG2"
"ITGAX",0,0.850228567724357,0.649,0.106,0,"Mono","ITGAX"
"RHOQ",0,0.847948309208964,0.681,0.152,0,"Mono","RHOQ"
"GNS",0,0.845981956605246,0.626,0.073,0,"Mono","GNS"
"PKM",0,0.842346806864264,0.843,0.425,0,"Mono","PKM"
"SOCS3",0,0.840618024673218,0.521,0.182,0,"Mono","SOCS3"
"OSCAR",0,0.840465269400138,0.581,0.021,0,"Mono","OSCAR"
"IRF2BP2",0,0.838433357249604,0.738,0.365,0,"Mono","IRF2BP2"
"ACTR2",0,0.838419316130551,0.976,0.748,0,"Mono","ACTR2"
"LY96",0,0.838123141721937,0.624,0.083,0,"Mono","LY96"
"TUBA1A",0,0.837909269135398,0.663,0.407,0,"Mono","TUBA1A"
"P2RY13",0,0.837425479652994,0.518,0.018,0,"Mono","P2RY13"
"MGST1",0,0.837414337189079,0.53,0.02,0,"Mono","MGST1"
"FAM49A",0,0.836382206226894,0.587,0.081,0,"Mono","FAM49A"
"RHOA",0,0.834449984232776,0.977,0.745,0,"Mono","RHOA"
"GLRX",0,0.832651696264501,0.849,0.46,0,"Mono","GLRX"
"GADD45B",0,0.831140293398248,0.565,0.253,0,"Mono","GADD45B"
"NCOA4",0,0.829313302722966,0.8,0.266,0,"Mono","NCOA4"
"RASSF2",0,0.827667654071851,0.637,0.11,0,"Mono","RASSF2"
"CREB5",0,0.826071231284276,0.518,0.018,0,"Mono","CREB5"
"ARPC3",0,0.826061320427687,0.998,0.934,0,"Mono","ARPC3"
"KLF4",0,0.825715843573478,0.536,0.029,0,"Mono","KLF4"
"SH3BGRL",0,0.822766277451002,0.926,0.609,0,"Mono","SH3BGRL"
"CD4",0,0.82144246306844,0.689,0.191,0,"Mono","CD4"
"HLA-DQB1",0,0.816993488792913,0.81,0.281,0,"Mono","HLA-DQB1"
"TLR4",0,0.815737389269689,0.538,0.015,0,"Mono","TLR4"
"ENTPD1",0,0.812969114952264,0.55,0.05,0,"Mono","ENTPD1"
"PLXNB2",0,0.810515251462136,0.581,0.027,0,"Mono","PLXNB2"
"BNIP3L",0,0.809819758069864,0.729,0.258,0,"Mono","BNIP3L"
"USP15",0,0.809805310886373,0.838,0.57,0,"Mono","USP15"
"RNASE6",0,0.809633395818097,0.592,0.078,0,"Mono","RNASE6"
"SIRPA",0,0.808956400429166,0.539,0.019,0,"Mono","SIRPA"
"PICALM",0,0.808928439830331,0.673,0.168,0,"Mono","PICALM"
"BLVRA",0,0.806808999347836,0.61,0.096,0,"Mono","BLVRA"
"CD55",0,0.806585772616719,0.735,0.372,0,"Mono","CD55"
"ATP6V1B2",0,0.804971116269379,0.613,0.089,0,"Mono","ATP6V1B2"
"ATP6V0D1",0,0.804241351358585,0.704,0.194,0,"Mono","ATP6V0D1"
"CREG1",0,0.80227136259336,0.579,0.055,0,"Mono","CREG1"
"H3F3A",0,0.801257370615319,1,0.993,0,"Mono","H3F3A"
"NOTCH2",0,0.799056741125262,0.632,0.114,0,"Mono","NOTCH2"
"RASSF4",0,0.795394402045075,0.597,0.068,0,"Mono","RASSF4"
"RAB11FIP1",0,0.793945824161115,0.678,0.228,0,"Mono","RAB11FIP1"
"FAM198B",0,0.793851093133423,0.508,0.014,0,"Mono","FAM198B"
"SYK",0,0.793807482711197,0.654,0.131,0,"Mono","SYK"
"RNF149",0,0.790594863633133,0.694,0.256,0,"Mono","RNF149"
"CMTM6",0,0.789824709166269,0.794,0.351,0,"Mono","CMTM6"
"CRTAP",0,0.789815260582885,0.627,0.14,0,"Mono","CRTAP"
"PYGL",0,0.78408990146765,0.538,0.021,0,"Mono","PYGL"
"EVI2A",0,0.782746344901806,0.718,0.314,0,"Mono","EVI2A"
"CDC42EP3",0,0.781295581001948,0.61,0.2,0,"Mono","CDC42EP3"
"EHBP1L1",0,0.781207385957913,0.665,0.166,0,"Mono","EHBP1L1"
"SH3BP2",0,0.780803451428201,0.632,0.134,0,"Mono","SH3BP2"
"NABP1",0,0.778859194518512,0.519,0.122,0,"Mono","NABP1"
"LAP3",0,0.777892969819013,0.591,0.169,0,"Mono","LAP3"
"MYD88",0,0.775094690985706,0.641,0.145,0,"Mono","MYD88"
"SHTN1",0,0.774648214043922,0.526,0.033,0,"Mono","SHTN1"
"HLA-DMA",0,0.774283541081751,0.703,0.22,0,"Mono","HLA-DMA"
"TMEM167A",0,0.772919301179921,0.702,0.234,0,"Mono","TMEM167A"
"MAP3K8",0,0.770892955975512,0.551,0.244,0,"Mono","MAP3K8"
"GRB2",0,0.769418107427659,0.883,0.539,0,"Mono","GRB2"
"PLXNC1",0,0.768425058060753,0.561,0.067,0,"Mono","PLXNC1"
"RNH1",0,0.767481508963559,0.776,0.347,0,"Mono","RNH1"
"GRK3",0,0.767132717953552,0.587,0.076,0,"Mono","GRK3"
"TET2",0,0.765341957006598,0.644,0.166,0,"Mono","TET2"
"ANXA1",0,0.764656447540648,0.915,0.677,0,"Mono","ANXA1"
"METTL9",0,0.763087482157863,0.722,0.379,0,"Mono","METTL9"
"ATG3",0,0.762939274887565,0.688,0.235,0,"Mono","ATG3"
"REL",0,0.759999401025614,0.819,0.48,0,"Mono","REL"
"GLIPR2",0,0.759939548623166,0.714,0.248,0,"Mono","GLIPR2"
"SULF2",0,0.759431588438443,0.625,0.134,0,"Mono","SULF2"
"ARPC5",0,0.75817173422727,0.972,0.777,0,"Mono","ARPC5"
"TMEM170B",0,0.757840202706857,0.514,0.025,0,"Mono","TMEM170B"
"KCNE3",0,0.757289972570317,0.522,0.016,0,"Mono","KCNE3"
"SECTM1",0,0.756521080476801,0.517,0.021,0,"Mono","SECTM1"
"LACTB",0,0.755939456376468,0.592,0.097,0,"Mono","LACTB"
"SCIMP",0,0.755834151125874,0.569,0.07,0,"Mono","SCIMP"
"HLA-DMB",0,0.754116806552489,0.684,0.187,0,"Mono","HLA-DMB"
"ADGRE2",0,0.753102970855692,0.5,0.021,0,"Mono","ADGRE2"
"CAPZA2",0,0.753043220668136,0.769,0.319,0,"Mono","CAPZA2"
"IL10RA",0,0.748664586568932,0.79,0.403,0,"Mono","IL10RA"
"CYBA",0,0.745922075074861,1,0.934,0,"Mono","CYBA"
"MGAT1",0,0.740021655734021,0.664,0.209,0,"Mono","MGAT1"
